Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Total.Incidents,Damage.Score,Severe.Damage.Frequency,Damage.Score.String
20020917X01743,ATL82FID06,1982-02-09,"NEWPORT NEWS, VA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,402B,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02262,LAX82FA069,1982-02-10,"TWENTYNINE PALM, CA",UNITED STATES,FATAL(2),DESTROYED,BEECH,95-C55,NO,2.0,BUSINESS,2.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01924,DEN82DA030,1982-02-10,"SPANISH FORK, UT",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,421B,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01725,ATL82FA052,1982-02-10,"JESSUP, GA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,401,NO,2.0,BUSINESS,0.0,0.0,0.0,5.0,VMC,PROBABLE CAUSE,5.0,,0,nan
20020917X02438,MKC82DA033,1982-02-15,"DES MOINES, IA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28-151,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01798,CHI82DA047,1982-02-15,"OTTAWA, OH",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,35,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01727,ATL82FA055,1982-02-16,"SPRINGFIELD, KY",UNITED STATES,FATAL(8),DESTROYED,PIPER,PA-31T2,NO,2.0,BUSINESS,8.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,8.0,,0,nan
20020917X02125,FTW82FQA13,1982-02-17,"TOADLENA, NM",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28RT-201T,NO,1.0,BUSINESS,0.0,1.0,0.0,0.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01926,DEN82DA032,1982-02-17,"BLANDING, UT",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,210,NO,1.0,BUSINESS,0.0,0.0,2.0,0.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02018,FTW82DA066,1982-02-22,"NEAR PATTERSON, LA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,A185F,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02446,MKC82DA041,1982-02-23,"CARROLL, IA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-60/601P,NO,2.0,BUSINESS,0.0,0.0,0.0,3.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02272,LAX82FA085,1982-02-24,"HURON, CA",UNITED STATES,FATAL(1),DESTROYED,BEECH,BE-95-C55,NO,2.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02098,FTW82FA071,1982-02-26,"SAN MARCOS, TX",UNITED STATES,FATAL(1),DESTROYED,ROBINSON,R22,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02022,FTW82DA072,1982-02-27,"CLOVIS, NM",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,T210M,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02199,LAX82DA112,1982-03-01,"GLENDALE, AZ",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28-161,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01930,DEN82DA037,1982-03-01,"ALMA, CO",UNITED STATES,NON-FATAL,SUBSTANTIAL,BELL,206B III,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02502,NYC82DA042,1982-03-03,"PALMER, MA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,172RG,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02031,FTW82DA081,1982-03-03,"DELEON, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,P210N,NO,1.0,BUSINESS,0.0,0.0,4.0,0.0,VMC,PROBABLE CAUSE,4.0,,0,nan
20020917X02359,MIA82DA063,1982-03-04,"KEY WEST, FL",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,310K,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01826,CHI82DA078,1982-03-04,"VALPARAISO, IN",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-30,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02150,FTW82FRJ09,1982-03-05,"FARMERVILLE, LA",UNITED STATES,NON-FATAL,DESTROYED,CESSNA,182L,NO,1.0,BUSINESS,0.0,2.0,0.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02507,NYC82DA047,1982-03-09,"JAFFREY, NH",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28-181,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02193,LAX82DA101,1982-03-09,"TAFT, CA",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,V35B,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01745,ATL82FKG09,1982-03-09,"NEAR COMMERCE, GA",UNITED STATES,FATAL(1),SUBSTANTIAL,CESSNA,210D,NO,1.0,BUSINESS,1.0,1.0,0.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02564,NYC82FNA11,1982-03-10,"MARLBORO, MA",UNITED STATES,NON-FATAL,SUBSTANTIAL,VARGA,2150A,NO,1.0,BUSINESS,0.0,0.0,2.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02034,FTW82DA084,1982-03-10,"ANGEL FIRE, NM",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,U-206,NO,1.0,BUSINESS,0.0,0.0,0.0,3.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02512,NYC82DA055,1982-03-12,"ATLANTIC CITY, NJ",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-34-200,NO,2.0,BUSINESS,0.0,0.0,0.0,3.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02196,LAX82DA105,1982-03-12,"CHINO, CA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,501,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01933,DEN82DA042,1982-03-12,"BOULDER, CO",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,A36TC,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01837,CHI82DA090,1982-03-15,"BREMEN TOWNSHIP, MN",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,182,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02301,LAX82FUJ32,1982-03-16,"TUCSON, AZ",UNITED STATES,FATAL(1),DESTROYED,BEECH,58,NO,2.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02514,NYC82DA057,1982-03-17,"AVOCA, PA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28RT-201,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02044,FTW82DA096,1982-03-17,"FARMINGTON, NM",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-38-112,NO,1.0,BUSINESS,0.0,0.0,1.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01886,CHI82FA091,1982-03-18,"RICHMOND, IN",UNITED STATES,FATAL(1),DESTROYED,CESSNA,421,NO,2.0,BUSINESS,1.0,2.0,0.0,0.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02594,SEA82DA039,1982-03-18,"MAUPIN, OR",UNITED STATES,NON-FATAL,SUBSTANTIAL,MOONEY,M20F,NO,1.0,BUSINESS,0.0,0.0,1.0,1.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01840,CHI82DA093,1982-03-20,"GRANTSBURG, WI",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,210,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02452,MKC82DA049,1982-03-22,"JETMORE, KS",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,172,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02057,FTW82DA114,1982-03-23,"CONROE, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,ROCKWELL,690A,NO,2.0,BUSINESS,0.0,0.0,0.0,3.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02475,MKC82FCJ02,1982-03-24,"DAVENPORT, NE",UNITED STATES,FATAL(1),DESTROYED,PIPER,PA-28-140,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02370,MIA82DA083,1982-03-24,"PLACIDA, FL",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-30,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01939,DEN82DA048,1982-03-25,"LAUREL, MT",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,T182RG,NO,1.0,BUSINESS,0.0,0.0,0.0,3.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02053,FTW82DA106,1982-03-26,"TULSA, OK",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28-235,NO,1.0,BUSINESS,0.0,0.0,1.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02054,FTW82DA107,1982-03-27,"AFTON, OK",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,95-B55,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02051,FTW82DA104,1982-03-27,"PAMPA, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,T210N,NO,1.0,BUSINESS,0.0,0.0,0.0,5.0,IMC,PROBABLE CAUSE,5.0,,0,nan
20020917X02565,NYC82FNA12,1982-03-29,"ROCHESTER, MA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-32R,NO,1.0,BUSINESS,0.0,2.0,0.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02140,FTW82FRD09,1982-04-01,"NEW ORLEANS, LA",UNITED STATES,FATAL(2),DESTROYED,CESSNA,A185E,NO,1.0,BUSINESS,2.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02456,MKC82DA053,1982-04-02,"HEBRON, NE",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,205,YES,1.0,BUSINESS,0.0,0.0,1.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02208,LAX82DA124,1982-04-03,"NAPA, CA",UNITED STATES,NON-FATAL,DESTROYED,BEECH,D55,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01737,ATL82FA089,1982-04-04,"LOUISVILLE, KY",UNITED STATES,FATAL(3),DESTROYED,BEECH,B35,NO,1.0,BUSINESS,3.0,1.0,0.0,0.0,VMC,PROBABLE CAUSE,4.0,,0,nan
20020917X01955,DEN82DA071,1982-04-04,"WESTCLIFFE, CO",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,172,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02455,MKC82DA052,1982-04-05,"GURLEY, NE",UNITED STATES,NON-FATAL,DESTROYED,CESSNA,182RG,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01739,ATL82FA093,1982-04-05,"BOSTIC, NC",UNITED STATES,FATAL(1),DESTROYED,PIPER,PA-28-180,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02552,NYC82FGT11,1982-04-05,"MCSHERRYSTOWN, PA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-44-180,NO,1.0,BUSINESS,0.0,1.0,1.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01944,DEN82DA055,1982-04-05,"LONGMONT, CO",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28R-201T,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02549,NYC82FGM10,1982-04-06,"SCANDIA, PA",UNITED STATES,FATAL(2),DESTROYED,BEECH,E55,NO,2.0,BUSINESS,2.0,0.0,0.0,0.0,IMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02523,NYC82DA069,1982-04-07,"PITTSBURGH, PA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,310,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01697,ATL82DA096,1982-04-07,"WINSTON-SALEM, NC",UNITED STATES,NON-FATAL,SUBSTANTIAL,BEECH,65-A90,NO,2.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02603,SEA82DA049,1982-04-08,"SPOKANE, WA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28-181,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01945,DEN82DA058,1982-04-13,"CROSBY, ND",UNITED STATES,NON-FATAL,SUBSTANTIAL,MOONEY,M20F,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02128,FTW82FQA16,1982-04-15,"RUIDOSO MUNI, NM",UNITED STATES,FATAL(3),DESTROYED,PIPER,PA-32R-300,NO,1.0,BUSINESS,3.0,1.0,0.0,0.0,VMC,PROBABLE CAUSE,4.0,,0,nan
20020917X01952,DEN82DA068,1982-04-15,"20MN OF JACKSON, WY",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,182A,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02105,FTW82FA132,1982-04-16,"HINTON, OK",UNITED STATES,FATAL(3),DESTROYED,BELL,222,NO,2.0,BUSINESS,3.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X01890,CHI82FA123,1982-04-16,"BIRD ISLAND, MN",UNITED STATES,FATAL(3),DESTROYED,MOONEY,M20J,NO,1.0,BUSINESS,3.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02075,FTW82DA134,1982-04-17,"KIRBYVILLE, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,MAULE,M-5-210C,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02076,FTW82DA135,1982-04-18,"JONESBORO, AR",UNITED STATES,NON-FATAL,DESTROYED,BEECH,S-35,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02471,MKC82FA058,1982-04-21,"CLIMAX SPRINGS, MO",UNITED STATES,FATAL(1),DESTROYED,BEECH,B95,NO,2.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02318,LAX82FVD13,1982-04-21,"HEARST, CA",UNITED STATES,FATAL(3),DESTROYED,BEECH,A36TC,NO,1.0,BUSINESS,3.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X01951,DEN82DA066,1982-04-23,"ENDERLIN, ND",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,182P,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X01748,ATL82FKG12,1982-04-25,"ATLANTA, GA",UNITED STATES,NON-FATAL,DESTROYED,CESSNA,421C,NO,2.0,BUSINESS,0.0,2.0,1.0,0.0,IMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02089,FTW82DA151,1982-04-27,"LAKE DALLAS, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-23-250T,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X02303,LAX82FUJ40,1982-04-28,"TEEC NOS POS, AZ",UNITED STATES,NON-FATAL,SUBSTANTIAL,HUGHES,369D,NO,1.0,BUSINESS,0.0,1.0,2.0,0.0,VMC,PROBABLE CAUSE,3.0,,0,nan
20020917X02231,LAX82DA150,1982-04-29,"DEETH, NV",UNITED STATES,NON-FATAL,SUBSTANTIAL,BELLANCA,7GCBC,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X01713,ATL82DA117,1982-04-30,"WHITE SULPHUR S, WV",UNITED STATES,NON-FATAL,DESTROYED,CESSNA,152,NO,1.0,BUSINESS,0.0,0.0,1.0,1.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X03113,DEN82DA080,1982-05-01,"ERIE, CO",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-23,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X03244,FTW82DA158,1982-05-02,"MIDLAND, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-31-350,NO,2.0,BUSINESS,0.0,0.0,0.0,1.0,IMC,PROBABLE CAUSE,1.0,,0,nan
20020917X03250,FTW82DA166,1982-05-04,"LUBBOCK, TX",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,172N,NO,1.0,BUSINESS,0.0,0.0,0.0,1.0,UNK,PROBABLE CAUSE,1.0,,0,nan
20020917X03111,DEN82DA078,1982-05-04,"LOVELL, WY",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,182M,NO,1.0,BUSINESS,0.0,0.0,0.0,2.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X03505,FTW82FRJ10,1982-05-05,"COTTONPORT, LA",UNITED STATES,FATAL(1),DESTROYED,CONTINENTAL,TOMCAT MK6C,NO,1.0,BUSINESS,1.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,1.0,,0,nan
20020917X03489,FTW82FRD10,1982-05-05,"FRANKLINTON, LA",UNITED STATES,FATAL(1),SUBSTANTIAL,CESSNA,207,NO,1.0,BUSINESS,1.0,1.0,0.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X03100,DCA82AA020,1982-05-06,"NEAR SAVANNAH, GA",UNITED STATES,FATAL(4),DESTROYED,GATES LEARJET,23,NO,2.0,BUSINESS,4.0,0.0,0.0,0.0,VMC,PROBABLE CAUSE,4.0,,0,nan
20020917X04075,SEA82DA065,1982-05-06,"WALLA WALLA, WA",UNITED STATES,NON-FATAL,SUBSTANTIAL,CESSNA,182P,NO,1.0,BUSINESS,0.0,0.0,1.0,1.0,VMC,PROBABLE CAUSE,2.0,,0,nan
20020917X02723,ATL82DA126,1982-05-06,"FRONT ROYAL, VA",UNITED STATES,NON-FATAL,SUBSTANTIAL,PIPER,PA-28R-180,NO,1.0,BUSINESS,0.0,1.0,1.0,0.0,VMC,PROBABLE CAUSE,2.0,,0,nan
